id	0	44	50	36	42	21	27	19	31	48	45	49	2	17	25	14	30	34	47	5	16	6	4	46	29	1	15	23	10	26	38	12	40	3	24	37	8	18	20	43	9	39	41	22	11	33	32	28	7	13
trump_percent	0	43.4	33.5	47.1	32.8	0	0	0	0	45.7	38.8	43.4	28.1	38.8	0	27.6	23.3	35.9	41.4	32.6	49.3	36.5	21.3	47.3	40.9	0	0	45.9	35.3	0	0	0	40.2	0	35.6	28.3	0	0	0	32.5	0	38.9	26.7	14	32.7	34.7	0	0	35.1	7.2
trump_delegates	0	36	11	58	16	0	0	0	0	99	42	11	12	53	0	8	9	17	18	9	22	25	8	25	25	0	0	14	11	0	0	0	29	0	0	13	0	0	0	50	0	33	48	0	8	17	0	0	6	1
cruz_percent	0	21.1	36.4	24.9	30.5	0	0	0	0	27	23.6	32.3	45.4	30.3	0	24.3	48.2	31.6	37.8	45.9	9.6	24.9	29	36.3	40.7	0	0	21.4	11.7	0	0	0	36.8	0	13.1	34.4	0	0	0	22.3	0	24.7	43.8	69.2	9.7	16.9	0	0	48.2	66.3
cruz_delegates	0	13	12	0	15	0	0	0	0	0	18	7	20	9	0	7	24	15	18	12	4	17	13	15	15	0	0	6	3	0	0	0	27	0	0	15	0	0	0	0	0	16	104	40	0	8	0	0	36	9
rubio_percent	0	18.7	15.1	0	24.9	0	0	0	0	17.1	24.4	13.2	15.9	8.7	0	23.1	16.7	16.4	11.2	8	17.9	9.3	36.5	5.1	6.1	0	0	23.9	10.6	0	0	0	7.7	0	2.9	26	0	0	0	22.5	0	21.2	17.7	0	19.3	31.9	0	0	0	19.5
rubio_delegates	0	1	5	0	9	0	0	0	0	0	16	1	0	0	0	7	6	7	5	0	8	0	17	0	0	0	0	7	2	0	0	0	6	0	0	12	0	0	0	0	0	9	3	0	0	16	0	0	0	1
kasich_percent	0	4.4	4.1	10	3.7	0	0	0	0	6.8	5.6	10	7.4	19.7	0	9.3	10.7	14.4	6.4	12.2	18	24.3	5.8	8.8	9.9	0	0	3.6	15.8	0	0	0	12.7	0	46.8	3.6	0	0	0	7.6	0	5.3	4.2	16.8	30.4	9.4	0	0	14.1	0
kasich_delegates	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	1	7	0	2	8	17	0	0	0	0	0	1	4	0	0	0	9	0	66	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0
